prospect_stage,source,mx_lead_substage,mx_lender_disbursal_date,mx_risk_category,mx_final_loan_amount,mx_current_address_zip,Perm Address State,Curr Address State
Disbursed,,Disbursed,20-03-2026,Low,43000.0,627202,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,08-04-2026,Medium,158000.0,400186,Maharashtra,Maharashtra
Disbursed,tp_form,Disbursed,25-04-2026,High,125000.0,332601,Bihar,Rajasthan
Disbursed,,Disbursed,01-04-2026,Medium,60000.0,360576,Gujarat,Gujarat
Disbursed,tp_form,Disbursed,25-03-2026,High,108000.0,393140,Gujarat,Gujarat
Disbursed,,Disbursed,04-02-2026,Medium,74000.0,456003,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,20-04-2026,High,174000.0,632315,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,13-03-2026,Very High,215000.0,504109,Telangana,Telangana
Disbursed,,Disbursed,29-03-2026,High,56000.0,110053,Delhi,Delhi
Disbursed,,Disbursed,31-03-2026,High,81000.0,444311,Odisha,Maharashtra
Disbursed,,Disbursed,18-02-2026,Medium,100000.0,500073,Telangana,Telangana
Disbursed,,Disbursed,05-01-2026,Low,79000.0,384412,Odisha,Gujarat
Disbursed,tp_form,Disbursed,30-03-2026,Low,43000.0,501143,Telangana,Telangana
Disbursed,,Disbursed,30-03-2026,Low,118000.0,577217,Karnataka,Karnataka
Disbursed,,Disbursed,14-01-2026,Low,33000.0,311802,Madhya Pradesh,Rajasthan
Disbursed,tp_form,Disbursed,23-01-2026,Low,101000.0,488222,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,12-01-2026,Medium,78000.0,627202,Tamil Nadu,Tamil Nadu
Disbursed,tp_form,Disbursed,28-01-2026,Low,103000.0,458330,Rajasthan,Madhya Pradesh
Disbursed,,Disbursed,23-04-2026,Low,40000.0,560011,Karnataka,Karnataka
Disbursed,,Disbursed,29-01-2026,High,61000.0,475002,Bihar,Madhya Pradesh
Disbursed,,Disbursed,26-03-2026,Very High,209000.0,412410,Maharashtra,Maharashtra
Disbursed,,Disbursed,20-01-2026,Low,65000.0,232336,Bihar,Uttar Pradesh
Disbursed,tp_form,Disbursed,04-01-2026,Low,69000.0,586213,Karnataka,Karnataka
Disbursed,,Disbursed,01-01-2026,High,59000.0,473287,Rajasthan,Madhya Pradesh
Disbursed,,Disbursed,15-04-2026,Medium,48000.0,303323,Rajasthan,Rajasthan
Disbursed,,Disbursed,22-03-2026,Medium,152000.0,503218,Telangana,Telangana
Disbursed,,Disbursed,01-01-2026,Low,94000.0,321610,Rajasthan,Rajasthan
Disbursed,,Disbursed,31-01-2026,Medium,151000.0,110088,Delhi,Delhi
Disbursed,,Disbursed,23-02-2026,Low,117000.0,335038,Bihar,Rajasthan
Disbursed,,Disbursed,16-01-2026,Low,105000.0,445307,Maharashtra,Maharashtra
Disbursed,tp_form,Disbursed,04-04-2026,High,101000.0,421305,Maharashtra,Maharashtra
Disbursed,tp_form,Disbursed,20-02-2026,Low,89000.0,570033,Karnataka,Karnataka
Disbursed,,Disbursed,16-04-2026,High,188000.0,444311,Maharashtra,Maharashtra
Disbursed,tp_form,Disbursed,18-04-2026,Very High,144000.0,209863,Odisha,Uttar Pradesh
Disbursed,,Disbursed,29-01-2026,Medium,68000.0,721422,West Bengal,West Bengal
Disbursed,,Disbursed,03-03-2026,Medium,103000.0,110028,Uttar Pradesh,Delhi
Disbursed,tp_form,Disbursed,02-01-2026,Medium,149000.0,580002,Odisha,Karnataka
Disbursed,,Disbursed,16-02-2026,Low,41000.0,243638,Rajasthan,Uttar Pradesh
Disbursed,,Disbursed,16-02-2026,Medium,120000.0,713512,Bihar,West Bengal
Disbursed,,Disbursed,17-02-2026,Medium,135000.0,110028,Delhi,Delhi
Disbursed,,Disbursed,07-02-2026,Medium,124000.0,321609,Rajasthan,Rajasthan
Disbursed,,Disbursed,08-04-2026,Medium,45000.0,233306,Uttar Pradesh,Uttar Pradesh
Disbursed,tp_form,Disbursed,14-02-2026,Low,43000.0,412203,Odisha,Maharashtra
Disbursed,,Disbursed,18-04-2026,Very High,56000.0,473335,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,16-01-2026,High,50000.0,505304,Telangana,Telangana
Disbursed,,Disbursed,02-03-2026,High,105000.0,470442,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,21-01-2026,Low,36000.0,415712,Maharashtra,Maharashtra
Disbursed,,Disbursed,19-03-2026,Medium,74000.0,503002,Telangana,Telangana
Disbursed,,Disbursed,13-03-2026,Medium,150000.0,332710,Rajasthan,Rajasthan
Disbursed,,Disbursed,01-01-2026,High,70000.0,507318,Odisha,Telangana
Disbursed,,Disbursed,11-04-2026,Low,30000.0,501401,Telangana,Telangana
Disbursed,,Disbursed,02-02-2026,Low,63000.0,370455,Uttar Pradesh,Gujarat
Disbursed,,Disbursed,07-02-2026,Low,112000.0,500073,Telangana,Telangana
Disbursed,,Disbursed,02-01-2026,High,101000.0,563157,Karnataka,Karnataka
Disbursed,,Disbursed,24-02-2026,Low,86000.0,441904,Maharashtra,Maharashtra
Disbursed,,Disbursed,27-04-2026,Low,46000.0,322241,Rajasthan,Rajasthan
Disbursed,,Disbursed,27-01-2026,High,150000.0,623403,Tamil Nadu,Tamil Nadu
Disbursed,tp_form,Disbursed,08-03-2026,Low,101000.0,585322,Karnataka,Karnataka
Disbursed,,Disbursed,01-04-2026,Low,88000.0,382110,Gujarat,Gujarat
Disbursed,,Disbursed,01-01-2026,Medium,57000.0,241126,Uttar Pradesh,Uttar Pradesh
Disbursed,tp_form,Disbursed,23-01-2026,Medium,138000.0,571807,Karnataka,Karnataka
Disbursed,,Disbursed,11-01-2026,Low,113000.0,226020,Bihar,Uttar Pradesh
Disbursed,,Disbursed,27-04-2026,Medium,164000.0,743375,West Bengal,West Bengal
Disbursed,,Disbursed,05-01-2026,High,120000.0,272177,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,12-03-2026,Medium,82000.0,721506,Bihar,West Bengal
Disbursed,,Disbursed,20-03-2026,Low,47000.0,712135,West Bengal,West Bengal
Disbursed,,Disbursed,11-03-2026,Low,113000.0,583239,Odisha,Karnataka
Disbursed,,Disbursed,14-01-2026,Medium,162000.0,721159,Bihar,West Bengal
Disbursed,,Disbursed,03-03-2026,Low,53000.0,313328,Rajasthan,Rajasthan
Disbursed,,Disbursed,26-04-2026,Medium,83000.0,509105,Rajasthan,Telangana
Disbursed,,Disbursed,24-04-2026,Low,91000.0,306303,Rajasthan,Rajasthan
Disbursed,,Disbursed,14-03-2026,High,172000.0,370105,Madhya Pradesh,Gujarat
Disbursed,,Disbursed,25-02-2026,High,134000.0,421401,Uttar Pradesh,Maharashtra
Disbursed,,Disbursed,02-02-2026,Low,59000.0,486450,Uttar Pradesh,Madhya Pradesh
Disbursed,,Disbursed,29-04-2026,Medium,55000.0,224234,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,10-03-2026,High,97000.0,465680,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,05-01-2026,High,131000.0,624201,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,23-04-2026,Medium,64000.0,110060,Rajasthan,Delhi
Disbursed,,Disbursed,02-01-2026,Low,68000.0,110082,Delhi,Delhi
Disbursed,,Disbursed,09-03-2026,Low,32000.0,461551,Bihar,Madhya Pradesh
Disbursed,,Disbursed,19-01-2026,Medium,97000.0,743357,West Bengal,West Bengal
Disbursed,,Disbursed,12-02-2026,Medium,120000.0,571601,Madhya Pradesh,Karnataka
Disbursed,,Disbursed,04-03-2026,Medium,42000.0,580002,Rajasthan,Karnataka
Disbursed,,Disbursed,17-03-2026,Very High,107000.0,311602,Rajasthan,Rajasthan
Disbursed,,Disbursed,25-02-2026,High,83000.0,560011,Karnataka,Karnataka
Disbursed,,Disbursed,29-04-2026,Medium,69000.0,458883,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,28-04-2026,Medium,92000.0,335027,Rajasthan,Rajasthan
Disbursed,,Disbursed,22-01-2026,Medium,60000.0,626132,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,07-04-2026,Low,52000.0,110073,Odisha,Delhi
Disbursed,,Disbursed,21-02-2026,Medium,164000.0,560023,Karnataka,Karnataka
Disbursed,,Disbursed,09-02-2026,High,86000.0,571617,Madhya Pradesh,Karnataka
Disbursed,,Disbursed,15-03-2026,Medium,147000.0,334604,Rajasthan,Rajasthan
Disbursed,tp_form,Disbursed,23-03-2026,Low,92000.0,700064,West Bengal,West Bengal
Disbursed,,Disbursed,16-03-2026,Very High,207000.0,444904,Bihar,Maharashtra
Disbursed,,Disbursed,06-04-2026,Medium,61000.0,635101,Rajasthan,Tamil Nadu
Disbursed,tp_form,Disbursed,10-01-2026,Medium,106000.0,110151,Delhi,Delhi
Disbursed,,Disbursed,28-03-2026,Low,35000.0,384130,Gujarat,Gujarat
Disbursed,,Disbursed,16-01-2026,High,160000.0,632008,Rajasthan,Tamil Nadu
Disbursed,tp_form,Disbursed,27-01-2026,Low,111000.0,700086,Odisha,West Bengal
Disbursed,,Disbursed,09-02-2026,High,160000.0,504207,Rajasthan,Telangana
Disbursed,,Disbursed,26-04-2026,High,109000.0,331028,Rajasthan,Rajasthan
Disbursed,,Disbursed,10-03-2026,Low,37000.0,110078,Delhi,Delhi
Disbursed,,Disbursed,03-01-2026,Medium,67000.0,110010,Odisha,Delhi
Disbursed,,Disbursed,12-03-2026,Low,46000.0,394310,Gujarat,Gujarat
Disbursed,,Disbursed,17-02-2026,Medium,164000.0,506166,Telangana,Telangana
Disbursed,,Disbursed,12-04-2026,Medium,161000.0,402402,Maharashtra,Maharashtra
Disbursed,,Disbursed,27-03-2026,Medium,117000.0,574229,Rajasthan,Karnataka
Disbursed,,Disbursed,22-01-2026,High,73000.0,322218,Rajasthan,Rajasthan
Disbursed,tp_form,Disbursed,14-04-2026,Low,92000.0,503321,Telangana,Telangana
Disbursed,,Disbursed,03-02-2026,High,111000.0,110056,Delhi,Delhi
Disbursed,,Disbursed,08-04-2026,Medium,62000.0,586118,Uttar Pradesh,Karnataka
Disbursed,,Disbursed,25-03-2026,Medium,38000.0,486002,Odisha,Madhya Pradesh
Disbursed,tp_form,Disbursed,06-02-2026,Low,38000.0,389155,Gujarat,Gujarat
Disbursed,,Disbursed,30-03-2026,Medium,130000.0,391160,Gujarat,Gujarat
Disbursed,,Disbursed,04-04-2026,High,76000.0,453115,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,31-03-2026,High,70000.0,638102,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,26-03-2026,Medium,84000.0,583239,Karnataka,Karnataka
Disbursed,tp_form,Disbursed,23-01-2026,Medium,106000.0,344706,Madhya Pradesh,Rajasthan
Disbursed,,Disbursed,06-03-2026,Low,32000.0,505304,Telangana,Telangana
Disbursed,tp_form,Disbursed,07-03-2026,High,115000.0,502291,Telangana,Telangana
Disbursed,,Disbursed,02-02-2026,Medium,90000.0,400005,Maharashtra,Maharashtra
Disbursed,,Disbursed,12-01-2026,Low,92000.0,591115,Karnataka,Karnataka
Disbursed,,Disbursed,26-02-2026,Low,77000.0,485661,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,14-03-2026,Medium,106000.0,110015,Bihar,Delhi
Disbursed,,Disbursed,11-04-2026,High,193000.0,458468,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,17-03-2026,Low,67000.0,509401,Telangana,Telangana
Disbursed,,Disbursed,10-04-2026,Medium,130000.0,711405,Madhya Pradesh,West Bengal
Disbursed,,Disbursed,21-04-2026,Medium,141000.0,627652,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,10-04-2026,Medium,151000.0,221304,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,12-03-2026,Very High,208000.0,380050,Odisha,Gujarat
Disbursed,tp_form,Disbursed,01-04-2026,Low,31000.0,390021,Gujarat,Gujarat
Disbursed,,Disbursed,26-02-2026,Medium,164000.0,627755,Uttar Pradesh,Tamil Nadu
Disbursed,,Disbursed,06-02-2026,Very High,93000.0,416115,Maharashtra,Maharashtra
Disbursed,,Disbursed,27-02-2026,Medium,89000.0,231209,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,13-04-2026,Medium,46000.0,458468,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,08-04-2026,Medium,89000.0,721403,Rajasthan,West Bengal
Disbursed,,Disbursed,16-03-2026,Medium,89000.0,577121,Rajasthan,Karnataka
Disbursed,,Disbursed,02-02-2026,Low,93000.0,502371,Telangana,Telangana
Disbursed,,Disbursed,02-03-2026,Medium,128000.0,721434,West Bengal,West Bengal
Disbursed,,Disbursed,04-02-2026,Medium,48000.0,321611,Rajasthan,Rajasthan
Disbursed,,Disbursed,09-03-2026,Medium,99000.0,274203,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,30-01-2026,Medium,73000.0,606704,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,31-03-2026,Very High,229000.0,485772,Rajasthan,Madhya Pradesh
Disbursed,,Disbursed,08-04-2026,Medium,110000.0,271310,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,01-01-2026,Low,40000.0,313803,Madhya Pradesh,Rajasthan
Disbursed,,Disbursed,14-04-2026,Medium,57000.0,506391,Telangana,Telangana
Disbursed,,Disbursed,10-01-2026,High,135000.0,227806,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,22-02-2026,Medium,160000.0,570010,Uttar Pradesh,Karnataka
Disbursed,,Disbursed,15-04-2026,Low,105000.0,243202,Uttar Pradesh,Uttar Pradesh
Disbursed,tp_form,Disbursed,21-01-2026,Low,73000.0,413221,Maharashtra,Maharashtra
Disbursed,,Disbursed,10-02-2026,Very High,151000.0,460553,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,16-04-2026,Medium,137000.0,421401,Maharashtra,Maharashtra
Disbursed,,Disbursed,27-01-2026,High,175000.0,413601,Maharashtra,Maharashtra
Disbursed,,Disbursed,05-01-2026,Medium,67000.0,110005,Madhya Pradesh,Delhi
Disbursed,,Disbursed,09-01-2026,Medium,61000.0,312619,Rajasthan,Rajasthan
Disbursed,,Disbursed,08-02-2026,Low,62000.0,711302,West Bengal,West Bengal
Disbursed,,Disbursed,29-03-2026,Medium,108000.0,110047,Delhi,Delhi
Disbursed,,Disbursed,20-02-2026,Medium,134000.0,500108,Rajasthan,Telangana
Disbursed,,Disbursed,18-04-2026,Medium,104000.0,209112,Bihar,Uttar Pradesh
Disbursed,,Disbursed,29-04-2026,Medium,137000.0,464258,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,09-01-2026,Medium,162000.0,560011,Karnataka,Karnataka
Disbursed,,Disbursed,13-04-2026,Very High,137000.0,110041,Delhi,Delhi
Disbursed,,Disbursed,31-03-2026,Low,63000.0,209863,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,25-04-2026,Low,47000.0,508111,Telangana,Telangana
Disbursed,,Disbursed,12-02-2026,High,194000.0,301714,Rajasthan,Rajasthan
Disbursed,,Disbursed,25-01-2026,Low,101000.0,335524,Uttar Pradesh,Rajasthan
Disbursed,,Disbursed,11-03-2026,Low,46000.0,734012,Rajasthan,West Bengal
Disbursed,tp_form,Disbursed,01-04-2026,Medium,86000.0,721517,West Bengal,West Bengal
Disbursed,,Disbursed,05-01-2026,Medium,134000.0,585211,Rajasthan,Karnataka
Disbursed,,Disbursed,09-03-2026,Low,119000.0,401606,Maharashtra,Maharashtra
Disbursed,,Disbursed,27-04-2026,Low,102000.0,274404,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,21-01-2026,High,139000.0,380052,Gujarat,Gujarat
Disbursed,,Disbursed,07-02-2026,High,137000.0,110119,Bihar,Delhi
Disbursed,,Disbursed,02-04-2026,Low,46000.0,626132,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,02-03-2026,Medium,114000.0,711110,Madhya Pradesh,West Bengal
Disbursed,,Disbursed,17-01-2026,High,175000.0,311802,Rajasthan,Rajasthan
Disbursed,,Disbursed,27-02-2026,Low,47000.0,416705,Maharashtra,Maharashtra
Disbursed,,Disbursed,14-01-2026,Medium,47000.0,110057,Delhi,Delhi
Disbursed,,Disbursed,03-03-2026,Low,50000.0,401603,Maharashtra,Maharashtra
Disbursed,,Disbursed,24-03-2026,Medium,140000.0,505304,Uttar Pradesh,Telangana
Disbursed,,Disbursed,01-03-2026,Low,84000.0,630405,Madhya Pradesh,Tamil Nadu
Disbursed,,Disbursed,16-01-2026,Low,100000.0,504297,Telangana,Telangana
Disbursed,,Disbursed,04-01-2026,High,92000.0,415536,Maharashtra,Maharashtra
Disbursed,,Disbursed,08-02-2026,Medium,150000.0,464671,Odisha,Madhya Pradesh
Disbursed,,Disbursed,05-02-2026,Low,82000.0,623409,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,11-03-2026,Medium,87000.0,388370,Gujarat,Gujarat
Disbursed,,Disbursed,02-01-2026,Medium,112000.0,509215,Telangana,Telangana
Disbursed,,Disbursed,08-02-2026,Medium,67000.0,504309,Uttar Pradesh,Telangana
Disbursed,,Disbursed,06-02-2026,Medium,133000.0,211023,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,28-02-2026,High,85000.0,362265,Uttar Pradesh,Gujarat
Disbursed,,Disbursed,13-03-2026,Low,60000.0,335524,Rajasthan,Rajasthan
Disbursed,,Disbursed,21-01-2026,Medium,70000.0,591215,Karnataka,Karnataka
Disbursed,,Disbursed,22-04-2026,High,115000.0,395010,Gujarat,Gujarat
Disbursed,tp_form,Disbursed,27-02-2026,Very High,126000.0,606806,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,08-03-2026,Very High,61000.0,462036,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,17-02-2026,Medium,40000.0,560117,Karnataka,Karnataka
Disbursed,,Disbursed,04-01-2026,Medium,151000.0,500054,Odisha,Telangana
Disbursed,,Disbursed,11-02-2026,High,137000.0,110069,Delhi,Delhi
Disbursed,,Disbursed,03-03-2026,High,187000.0,721403,West Bengal,West Bengal
Disbursed,,Disbursed,12-01-2026,High,169000.0,242305,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,22-02-2026,High,55000.0,509412,Telangana,Telangana
Disbursed,,Disbursed,21-02-2026,Medium,146000.0,711110,West Bengal,West Bengal
Disbursed,,Disbursed,16-01-2026,High,105000.0,110097,Uttar Pradesh,Delhi
Disbursed,,Disbursed,15-04-2026,Medium,90000.0,641111,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,16-02-2026,Low,85000.0,721155,West Bengal,West Bengal
Disbursed,,Disbursed,29-01-2026,Medium,95000.0,382210,Gujarat,Gujarat
Disbursed,,Disbursed,14-03-2026,Very High,205000.0,384135,Gujarat,Gujarat
Disbursed,,Disbursed,22-01-2026,Low,38000.0,233306,Odisha,Uttar Pradesh
Disbursed,,Disbursed,20-03-2026,High,152000.0,400702,Rajasthan,Maharashtra
Disbursed,tp_form,Disbursed,28-03-2026,Low,28000.0,509235,Telangana,Telangana
Disbursed,,Disbursed,06-02-2026,Low,108000.0,412410,Maharashtra,Maharashtra
Disbursed,,Disbursed,05-01-2026,Medium,116000.0,303301,Rajasthan,Rajasthan
Disbursed,,Disbursed,10-02-2026,High,74000.0,638315,Rajasthan,Tamil Nadu
Disbursed,,Disbursed,10-02-2026,Very High,222000.0,400005,Maharashtra,Maharashtra
Disbursed,,Disbursed,01-03-2026,Medium,72000.0,283112,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,03-03-2026,Very High,72000.0,742163,West Bengal,West Bengal
Disbursed,,Disbursed,31-01-2026,Medium,63000.0,465661,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,03-01-2026,Very High,170000.0,713406,Rajasthan,West Bengal
Disbursed,,Disbursed,11-01-2026,High,114000.0,382050,Gujarat,Gujarat
Disbursed,,Disbursed,09-04-2026,High,174000.0,627803,Tamil Nadu,Tamil Nadu
Disbursed,tp_form,Disbursed,09-02-2026,Low,29000.0,742121,Madhya Pradesh,West Bengal
Disbursed,,Disbursed,18-01-2026,Medium,119000.0,390008,Madhya Pradesh,Gujarat
Disbursed,,Disbursed,06-04-2026,Medium,152000.0,313904,Bihar,Rajasthan
Disbursed,,Disbursed,22-02-2026,High,128000.0,110017,Delhi,Delhi
Disbursed,tp_form,Disbursed,22-04-2026,Medium,76000.0,621003,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,19-03-2026,Medium,127000.0,505211,Rajasthan,Telangana
Disbursed,,Disbursed,15-04-2026,High,195000.0,110040,Delhi,Delhi
Disbursed,,Disbursed,17-01-2026,Low,94000.0,110020,Delhi,Delhi
Disbursed,,Disbursed,01-01-2026,Medium,91000.0,458330,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,06-03-2026,Low,98000.0,503125,Madhya Pradesh,Telangana
Disbursed,,Disbursed,10-04-2026,High,82000.0,283203,Rajasthan,Uttar Pradesh
Disbursed,tp_form,Disbursed,31-03-2026,Medium,131000.0,561204,Karnataka,Karnataka
Disbursed,,Disbursed,30-04-2026,Medium,44000.0,623409,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,21-02-2026,Medium,82000.0,396126,Gujarat,Gujarat
Disbursed,,Disbursed,14-02-2026,Low,86000.0,743357,West Bengal,West Bengal
Disbursed,,Disbursed,12-04-2026,Low,69000.0,735220,Bihar,West Bengal
Disbursed,,Disbursed,08-04-2026,Medium,86000.0,229001,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,03-01-2026,Low,105000.0,391150,Gujarat,Gujarat
Disbursed,,Disbursed,10-04-2026,Medium,45000.0,383410,Gujarat,Gujarat
Disbursed,,Disbursed,02-03-2026,Low,61000.0,110009,Delhi,Delhi
Disbursed,,Disbursed,16-03-2026,Low,107000.0,391120,Bihar,Gujarat
Disbursed,,Disbursed,27-01-2026,High,142000.0,361008,Gujarat,Gujarat
Disbursed,,Disbursed,29-03-2026,High,67000.0,621205,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,18-02-2026,Medium,157000.0,341303,Rajasthan,Rajasthan
Disbursed,,Disbursed,14-02-2026,Low,74000.0,508255,Telangana,Telangana
Disbursed,,Disbursed,30-01-2026,Medium,66000.0,712303,West Bengal,West Bengal
Disbursed,,Disbursed,11-01-2026,Low,30000.0,229309,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,09-03-2026,Medium,135000.0,509336,Telangana,Telangana
Disbursed,,Disbursed,13-02-2026,Very High,58000.0,482004,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,29-03-2026,Low,69000.0,505490,Telangana,Telangana
Disbursed,,Disbursed,24-03-2026,Medium,93000.0,455221,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,04-04-2026,Low,98000.0,470228,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,28-03-2026,Low,67000.0,230136,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,13-01-2026,Low,47000.0,503321,Telangana,Telangana
Disbursed,,Disbursed,07-01-2026,Medium,104000.0,509235,Telangana,Telangana
Disbursed,tp_form,Disbursed,13-02-2026,High,147000.0,485666,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,27-04-2026,Low,65000.0,643243,Madhya Pradesh,Tamil Nadu
Disbursed,,Disbursed,03-02-2026,Low,29000.0,233306,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,06-01-2026,Medium,101000.0,370205,Rajasthan,Gujarat
Disbursed,,Disbursed,15-03-2026,Low,72000.0,384135,Gujarat,Gujarat
Disbursed,tp_form,Disbursed,09-01-2026,Medium,133000.0,461551,Uttar Pradesh,Madhya Pradesh
Disbursed,,Disbursed,25-03-2026,Medium,60000.0,342026,Madhya Pradesh,Rajasthan
Disbursed,tp_form,Disbursed,23-03-2026,High,182000.0,384515,Gujarat,Gujarat
Disbursed,,Disbursed,04-01-2026,Medium,91000.0,313207,Rajasthan,Rajasthan
